"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"NA.304",NA,NA,NA,NA,NA,NA,NA
"NA.305",NA,NA,NA,NA,NA,NA,NA
"NA.306",NA,NA,NA,NA,NA,NA,NA
"NA.307",NA,NA,NA,NA,NA,NA,NA
"NA.308",NA,NA,NA,NA,NA,NA,NA
"NA.309",NA,NA,NA,NA,NA,NA,NA
"NA.310",NA,NA,NA,NA,NA,NA,NA
"NA.311",NA,NA,NA,NA,NA,NA,NA
"NA.312",NA,NA,NA,NA,NA,NA,NA
"NA.313",NA,NA,NA,NA,NA,NA,NA
"NA.314",NA,NA,NA,NA,NA,NA,NA
"NA.315",NA,NA,NA,NA,NA,NA,NA
"NA.316",NA,NA,NA,NA,NA,NA,NA
"ENSG00000244242",22.8726726398633,-1.89385947865392,0.459992061878528,-4.11715687205497,3.83574996738541e-05,0.00472330915549085,"IFITM10"
"NA.317",NA,NA,NA,NA,NA,NA,NA
"ENSG00000134339",144.449258459587,2.63416385741316,0.204278179832119,12.8949839849659,4.80362918514801e-38,2.2674730963627e-34,"SAA2"
"ENSG00000023445",66.6770096594262,1.5334336200244,0.25252193050384,6.0724770199754,1.25952127237658e-09,4.05365471321017e-07,"BIRC3"
"ENSG00000185885",13.2768632266496,2.06843481953154,0.595536416593811,3.473229783935,0.000514234886367242,0.0412981851214081,"IFITM1"
"NA.318",NA,NA,NA,NA,NA,NA,NA
"NA.319",NA,NA,NA,NA,NA,NA,NA
"NA.320",NA,NA,NA,NA,NA,NA,NA
"NA.321",NA,NA,NA,NA,NA,NA,NA
"NA.322",NA,NA,NA,NA,NA,NA,NA
"ENSG00000185745",44.8489021682958,1.14070459761677,0.308672606445875,3.69551613520582,0.000219440542938709,0.0194914571095143,"IFIT1"
"NA.323",NA,NA,NA,NA,NA,NA,NA
"NA.324",NA,NA,NA,NA,NA,NA,NA
"NA.325",NA,NA,NA,NA,NA,NA,NA
"NA.326",NA,NA,NA,NA,NA,NA,NA
"NA.327",NA,NA,NA,NA,NA,NA,NA
"ENSG00000188613",9.04683438579156,-2.48102749395121,0.71453827105115,-3.47221078907557,0.000516190859860832,0.0412981851214081,"NANOS1"
"NA.328",NA,NA,NA,NA,NA,NA,NA
"NA.329",NA,NA,NA,NA,NA,NA,NA
"NA.330",NA,NA,NA,NA,NA,NA,NA
"NA.331",NA,NA,NA,NA,NA,NA,NA
"NA.332",NA,NA,NA,NA,NA,NA,NA
"NA.333",NA,NA,NA,NA,NA,NA,NA
"NA.334",NA,NA,NA,NA,NA,NA,NA
"NA.335",NA,NA,NA,NA,NA,NA,NA
"NA.336",NA,NA,NA,NA,NA,NA,NA
"NA.337",NA,NA,NA,NA,NA,NA,NA
"ENSG00000077150",287.196904219372,1.07978609465459,0.151934211270651,7.10693191233341,1.18650930615791e-12,4.94181126014769e-10,"NFKB2"
"NA.338",NA,NA,NA,NA,NA,NA,NA
"ENSG00000107968",19.9825804424124,2.04470694955143,0.461429094565614,4.43124842718534,9.36890744704314e-06,0.00145794613579756,"MAP3K8"
"NA.339",NA,NA,NA,NA,NA,NA,NA
"NA.340",NA,NA,NA,NA,NA,NA,NA
"NA.341",NA,NA,NA,NA,NA,NA,NA
"NA.342",NA,NA,NA,NA,NA,NA,NA
"ENSG00000089127",53.1877922536276,2.12103056736992,0.292107464730059,7.26113099961343,3.8386694944258e-13,1.69873120970512e-10,"OAS1"
"ENSG00000111335",167.544180218721,1.22931932829652,0.168286161911084,7.30493413324175,2.77402598177493e-13,1.29642398735475e-10,"OAS2"
"NA.343",NA,NA,NA,NA,NA,NA,NA
"ENSG00000185479",654.017512236909,1.67133150891958,0.137330885041236,12.1701065890439,4.48496467185985e-34,1.27023169436415e-30,"KRT6B"
"NA.344",NA,NA,NA,NA,NA,NA,NA
"NA.345",NA,NA,NA,NA,NA,NA,NA
"NA.346",NA,NA,NA,NA,NA,NA,NA
"NA.347",NA,NA,NA,NA,NA,NA,NA
"NA.348",NA,NA,NA,NA,NA,NA,NA
"NA.349",NA,NA,NA,NA,NA,NA,NA
"NA.350",NA,NA,NA,NA,NA,NA,NA
"NA.351",NA,NA,NA,NA,NA,NA,NA
"NA.352",NA,NA,NA,NA,NA,NA,NA
"NA.353",NA,NA,NA,NA,NA,NA,NA
"NA.354",NA,NA,NA,NA,NA,NA,NA
"NA.355",NA,NA,NA,NA,NA,NA,NA
"NA.356",NA,NA,NA,NA,NA,NA,NA
"NA.357",NA,NA,NA,NA,NA,NA,NA
"ENSG00000111331",243.25356341814,1.33417365074349,0.174471553179942,7.64694087045513,2.05816908101663e-14,1.07947156875098e-11,"OAS3"
"NA.358",NA,NA,NA,NA,NA,NA,NA
"NA.359",NA,NA,NA,NA,NA,NA,NA
"ENSG00000185432",22.8905461243333,-1.49145374804663,0.407329706790205,-3.66153934560633,0.000250704348658495,0.0219149646997095,"TMT1A"
"NA.360",NA,NA,NA,NA,NA,NA,NA
"NA.361",NA,NA,NA,NA,NA,NA,NA
"NA.362",NA,NA,NA,NA,NA,NA,NA
"NA.363",NA,NA,NA,NA,NA,NA,NA
"NA.364",NA,NA,NA,NA,NA,NA,NA
"NA.365",NA,NA,NA,NA,NA,NA,NA
"NA.366",NA,NA,NA,NA,NA,NA,NA
"NA.367",NA,NA,NA,NA,NA,NA,NA
"NA.368",NA,NA,NA,NA,NA,NA,NA
"NA.369",NA,NA,NA,NA,NA,NA,NA
"NA.370",NA,NA,NA,NA,NA,NA,NA
"NA.371",NA,NA,NA,NA,NA,NA,NA
"NA.372",NA,NA,NA,NA,NA,NA,NA
"NA.373",NA,NA,NA,NA,NA,NA,NA
"NA.374",NA,NA,NA,NA,NA,NA,NA
"NA.375",NA,NA,NA,NA,NA,NA,NA
"NA.376",NA,NA,NA,NA,NA,NA,NA
"NA.377",NA,NA,NA,NA,NA,NA,NA
"NA.378",NA,NA,NA,NA,NA,NA,NA
"NA.379",NA,NA,NA,NA,NA,NA,NA
"NA.380",NA,NA,NA,NA,NA,NA,NA
"NA.381",NA,NA,NA,NA,NA,NA,NA
"NA.382",NA,NA,NA,NA,NA,NA,NA
